,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,MAINTENANCE AND OTHER OPERATING EXPENSES,,,,,,,," 18,371,150,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,GENERAL ADMINISTRATIVE AND SUPPORT,,,,,,,," 2,042,917,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,National Capital Region,,,,,," 2,042,917,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Central Office,,,,," 2,042,917,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,SUPPORT TO OPERATIONS,,,,,,,," 16,328,233,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,National Capital Region,,,,,,," 16,328,233,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Central Office,,,,,," 16,328,233,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,
,,,a.,"Infrastructure Planning, Design, Construction and Maintenance",,,,,," 16,311,753,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,Design of Infrastructure Projects,,,,," 21,284,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,"Preparation of Manuals for Construction, Rehabilitation, & Improvement of Infrastructure Facilities",,,,," 29,713,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,Management of Construction and Maintenance Equipment and Ancillary Facilities,,,,," 177,935,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,p.,Rizal 2nd District Engineering Office,," 48,869,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,MIMAROPA Region,,," 365,993,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a.,Marinduque District Engineering Office,," 31,888,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b.,Mindoro Occidental District Engineering Office,," 50,000,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c.,Mindoro Oriental District Engineering Office,," 48,494,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d.,Palawan 1st District Engineering Office,," 44,118,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e.,Palawan 2nd District Engineering Office,," 50,000,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,f.,Palawan 3rd District Engineering Office,," 41,493,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,g.,Romblon District Engineering Office,," 50,000,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,h.,Southern Mindoro District Engineering Office,," 50,000,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,Region V,,," 532,418,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a.,Albay 1st District Engineering Office,," 24,193,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b.,Albay 2nd District Engineering Office,," 36,710,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c.,Albay 3rd District Engineering Office,," 22,382,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d.,Camarines Norte District Engineering Office,," 27,067,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e.,Camarines Norte Sub-District Engineering Office,," 28,963,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,f.,Camarines Sur 1st District Engineering Office,," 32,378,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,g.,Camarines Sur 2nd District Engineering Office,," 24,291,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,h.,Camarines Sur 3rd District Engineering Office,," 20,625,000 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,i.,Camarines Sur 4th District Engineering Office,," 45,064,000 ",,,,,,,,,,,,,
